content,score,Year,Month,Day
"apps ini memudahkan penumpang. tak perlu cetak tiket. langsung boarding. namun saya merasa sedikit tidak nyaman pada tab ""my trips"". menurut saya tab menu ""my trips"" perlu diberikan sparasi antara trip yg sudah selesai dengan trips yg sudah lunas atau trip yg baru saja di pesan. lumayan mengganggu history trip terlama muncul di paling atas. history trip bisa di sembunyikan saja dan ditampilkan trips terdekat dengan jadwal keberangkaratan di halaman home. reminders jg perlu di optimasi",2,2018,10,4
"Kok di saya belum bisa di upgrade untuk kereta lokal dan bandara?? Bbrp teman sudah bisa,tp di playstore saya blm ada pemberitahuan untuk pembaruan",1,2018,10,6
"keren sudah bisa pembatalan & reschedule online, kedepannya tambahkan metode pembayaran dgn virtual account sehingga yg sudah teregistrasi di aplikasi KAI Access tidak perlu lagi ganti kode pembayaran setiap pemesanan tiket",4,2018,10,9
"sekarang suka susah masuk klo pake wifi,padahal wifinya gk lemot. cek koneksi jaringan mulu,giliran pake data langsung bisa. masih enak versi sebelumnya ketimbang versi yg sekarang,tolong diperbaiki lagi🙏🙏",2,2018,10,10
"pertama instal bisa dipake , lama kelamaan kok gak bisa ya , setiap cek tiket muter muter terus , suruh periksa koneksi , padahal aplikasi lain lancar , tolong di perbaiki lagi , bisa sangat membatu jika berjalan lancar",1,2018,10,11
Apaan kok abis di upgrade malah gak bisa di buka untuk pembelian tiketnya keluar keluar melulu...aneh bgt . Ngapain KAI bikin acses lebih mudah kalo di upgrade malah gak bisa di pake..mending gak usah bikin acses lebih mudah lagi ...kalo mau booking tiket aja gak bisa bisa,2,2018,10,12
"Setelah di upgrade tidak bisa memilih stasiun keberangkatan/tujuan dan sering force close terus, pake wifi/sama saja lemot loading terus. Segera perbaiki untuk event online travel fair.",1,2018,10,12
Untuk pemesanan kereta lokal ditambah dong wilayah jatim. Surabaya dan sekitarnya. Lumayan lho bisa menghemat waktu dan tenaga tanpa harus antri di loket.,4,2018,10,12
"Loading nya lelet... Padahal jaringannya 4G..sblm di perbarui ga... Stlh di pembaruan kok lelet ya malh ga bisa kebuka... Knp... Kecewa...kecewa sekali... Pengen dapat promo malah aplikasinya lelet, cek koneksi aja padahal jaringannya 4G lho.... Gimana jaringannya jelek banget ga bisa di buka padahal sudah 4 G",3,2018,10,13
"Aplikasi sdh saya uninstal. Instal lagi. Tetap tidak bisa log in. Coba salah satu teknisi pihak KAI dowload, dan coba untuk melihat permasalahan ini. Jangan membuat promo sehingga orang mau download aplikasi ini namun ternyata aplikasi nya tidak bs berjalan dg baik. Saran saya, aplikasi nya tidak perlu harus gambar hd krn akan memperlambat jalan nya aplikasi. Terimakasih",1,2018,10,13
"Rata rata keluhan per tanggal 13 Oktober 2018 sama ya, yaitu aplikasi tidak bisa dibuka. Saya pakai aplikasi ini sudah lama tapi baru kali ini mengalami kendala seperti ini. Mohon pihak PT KAI diperbaiki lagi aplikasi nya. Kalau belum siap buat acara flash sale tolong jangan buat pelanggan kecewa. Terimakasih.",2,2018,10,13
gk niat flas sale..makanya aplikasi gk bisa di gunakan..padahal kemrarin aja masih bisa di gunakan..apa2 an kayak gini..bikin bintang menurun drastis klo kek gini.!!kecewa!!,2,2018,10,13
Aplikasi tidak dapat digunakan setelah diperbaharui. Kalo begini namanya bukan perbaikan tapi menambah kurang bintang pada aplikasi itu sendiri,1,2018,10,13
Aplikasi tolol.. mau log in ga bisa. Mau ngetik stasiun asal ga muncul2... gini ini kalo IT nya sekelas BUMN tpi pake anak SMK doang.. ga berkembang..! Kecewa sumpah. Jdi lebih milih moda transportasi bis. Lebih nyaman lebih fleksibel. Dapet makan lagi.,1,2018,10,13
"Tolong ini di kondisikan admin, loading lama, untuk mencari pilihan tujuan kereta suka trouble dan buffering, dan untuk mengaktifkan account juga lemot (padahal sinyal full). Thx KAI",1,2018,10,13
Setelah update bukannya bisa digunakan dengan baik jadi gak bisa di gunakan.. mau pesan aja keluar tulisan koneksi tidak ada terus..,1,2018,10,13
Aplikasi anjing...!!! Nyesal download buang buang kuota. Aplikasi tidak bisa digunakan utk pembelian tiket. Sudah daftar tetap tidak bisa digunakan untuk transaksi. Jangan hanya mencari keuntungan untuk menyedot kuota orang dengan download aplikasi tetapi tidak bisa digunakan. Dasar anjing....!!!,1,2018,10,13
"Aplikasi Gembel,,,,Cari Tiket Kok Koneksi Ngga bagus Terus,Padahal Sinyal Oke,,Buka yg lain bisa Sampe Pake Wifi Masih Sama aja,,,Percuma Buat Pengumuman Dan Promo ,,,,Jangan"" Ada Monopoli Tiket nih Biar Gak Bisa Di Akses ,,,",1,2018,10,13
"Kenapa kok aplikasi tidak bisa dipakai? Setelah searching jadwal, tiba-tiba keluar otomatis dengan pesan ""mohon cek koneksi anda"". Padahal tidak ada masalah apa-apa dengan koneksinya. Bagaimana ini?",1,2018,10,13
Setiap mau flash sale ga bisa2... Koneksi jelek. Pdahal sinyal wifi nya bagus. Kalo emng ga niat promo y jngan di promoin. Jd bikin image jelek. Instal aplikasi kai access jg ga bsa. Harus tlpn 121 dlu baru bisa.,1,2018,10,14
"Ko sering ada tulisan ""MOHON CEK KONEKSI ANDA""? Padahal udah di coba pake wifi, di coba lagi pake data(telkom*** lhoo) dan jaringannya 4+ padahal . Tetap muncul tulisan cek konelsi yah?",3,2018,10,14
"Kecewa saya dengan aplikasi milik KAI ini, padahal saya sudah biasa menggunakan aplikasi ini untuk memesan tiket, tapi semakin hari minta update terus, malah yang ada aplikasinya makin lemot dan tidak bisa digunakan. Sering mengatakan kalau koneksi saya tidak tersedia, padahal koneksi saya sewaktu membuka app lain masih normal. Semoga KAI cepat berbenah dengan aplikasi agar lebih friendly digunakan oleh konsumen",1,2018,10,14
"""mohon cek koneksi anda"" harusnya diubah menjadi ""mohon upgrade kapasitas server kai"". flash deal tinggal klik pesan kok gak bisa sampe expired. padahal koneksi wifi rumah dan flash deal BL saya selalu dapet. yah....namanya punya pemerintah, alangkah lebih baik flash deal diserahkan ke e-commerce lain.",3,2018,10,14
"Tolong aplikasi nya diperbaiki lagi.. sy mau pesan tiket kereta aja susah...ket cek koneksi anda, padahal koneksi saya sudah stabil dan di menu stasiun asal serta tujuan nya saja tidak bisa muncul..",1,2018,10,15
"Saya sdh memesan tiket, tp stlh app di close mau lihat detail pemesanan tdk bisa loading terus pdhl koneksi bagus, saya tunggu 1jam tetap loading tdk keluar detail pesanan nya, jd maksudnya apa??",1,2018,10,15
"Saya sering menggunakan aplikasi ini untuk pulang pergi semarang, setiap updata biasa2 ajah, namun baru kali ini di update malah nambah lemot, sering jaringannya ilang, nyetak e-boarding susah -_-,sorry saya bintang 1 , mohon perbaikan biar nggak ada kekecewaan",1,2018,10,15
Saat akan input stasiun keberangkatan dan tujuan. Pilihannya nggak muncul. Udah coba keluar dari aplikasi & masuk lagi tapi tetep aja ga muncul pilihannya pas diketik. Entah kenapa begini,2,2018,10,15
Tidak ok...eror terus setelah diupdate....gagal nih aplikasi versi terbaru..pada menu ketik kota tujuan dan asal tidak bisa...mohon diperbaiki yah..klo dah ok..nanti ku kasih bintang 7,1,2018,10,16
"Versi lamanya gak masalah, setelah pembaruan ngetik stasiun asal dan tujuan aja ga ada yang muncul. Kalau yang lama langsung muncul heuumm, mana bisa pesen tiket kalau gini 😑",1,2018,10,16
"Sebelum tgl 13 oktober 2018 aplikasi KAI ini baik2 saja, sangat bermanfaat membantu mempermudah pemesanan tiket kreta, tapi sekarang bahkan setelah di update aplikasinya malah muter2 doank alias loading. Saat pilih stasiun pun not responding. Jadi kecewa sama aplikasi KAI saat ini smoga segera di perbaiki dan normal kembali aplikasi KAInya.",3,2018,10,16
Sangat tidak di rekomendasikan untuk menggunakan aplikasi ini. Sistemnya buruk sekali. Terutama kesalahan sistem saat mau reschedule. Saya harus bolak-balik stasiun dan telfon call center untuk memastikan kepastian tiket saya sampai akhirnya saya harus refund tiket. Sangat sangat menyesal pernah menggunakan aplikasi ini.,1,2018,10,17
"Knp setelah diupdate,stok kursi hanya tulisan tersedia?bukan malah kemajuan setelah diupdate tp malah kemunduran..kembalikan seperti semula saja tak usah diperbaharui",3,2018,10,17
"Biasa pake app ini tapi sekrang jadi susah buat pesan. Cek koneksi terus, kalo pake wifi baru bisa. Padahal kuota nya masih bnyak. Tolong diperbaiki. Mengecewakan konsumen.",2,2018,10,18
"Baru buka udah ada notifikasi buat update dan kalo gak di update gak bisa dibuka. Setelah di update malah aplikasinya gak jelas kyak gini. Mau pesen tiket nama stasiun gak muncul. Seharusnya kalo udah ada versi update nya cukup pake notifikasi aja, jangan paksa buat update baru bisa buka aplikasinya kalo ternyata masih belom mateng.",1,2018,10,18
"Saya sangat kecewa dengan aplikasi ini, Sebelum di update aplikasinya gak ada masalah, setelah d update malah gak bisa di gunakan, bahkan menentukan asal stasiun dan tujuan gak bisa, padahal jaringan saya tidak bermasalah buat menjalankan aplikasi lainnya masih lancar, mohon di perbaiki lagi",1,2018,10,22
Aplikasi ini tuuu penting bgt ya harunya. Tp kurang sesuai dengan tujuannya. Harusnya ini mempermudah pengguna memesan tiket dimanapun dan kapanpun tp aslinya ini susah dan menyebalkan. Sering sekali untuk minta di upgrade. Jadi agak susah untuk menggunakan memesan tiket saat buru2,2,2018,10,23
"Pas update an ke berapa, aplikasi ini ga bisa di jalankan pake jaringan seluler, bisa nya cuma wifi, jadinya ga bisa pesen pas lagi di jalan, cuma bisa d dalam rumah",3,2018,10,24
Abis diupdate malah makin ga bisa digunakan aplikasinya. Buat masukkan stasiun asal dan stasiun tujuan aja udah ga bisa. Apalagi buat liat jadwal kreta. Saya kira cuma hp saya aja yg kaya gitu ternyata hp temen sy juga banyak yg seperti itu. Padahal untuk koneksi internet udah bagus. Tolong untuk teknisi yg mengurus aplikasi kai access mohon untuk segera memperbaiki kekurangannya. Dari pada mengecewakan banyak orang,1,2018,10,28
Tiap update selalu aja harus login trus. Udah gitu lemot nyaaaaaaaa........ Bikin emosi. Login aja susah bgt. Berat bgt sech aplikasi nya. Update tuch bikin enteng aplikasi nya. Bikin susah & ribet orang aja.,1,2018,11,5
"Ini aplikasi udah ditutup? Kok ga bisa dipakai sama sekali? buat login gabisa, buat cek harga dan kursi ga bisa, buat booking ga bisa, padahal sinyal internet lancar dan saya download di hp yg satu juga sama saja, tolong diperbaiki min.",2,2018,11,7
"Seharusnya ini bisa menjadi aplikasi yang sangat membantu, tapi kenyataan nya enggak. Udah login berapa kali pun gak bisa. Pas di daftarin makin gak bisa. Tolong aplikasi nya di perbaiki lgi dan klw aplikasi nya blm siap buat di pakai lebih bagus gak usah di sebarin dulu. Buat yg ngedownload kecewa. Terimakasih 😊",1,2018,11,8
Program e bording nya keren makin gampang skrg.. ga perlu antre beli tiket.. ga perlu ribet nyetak tiket.. great job kai.. semoga makin maju perkereta apian indonesia,5,2018,11,9
"Aplikasinya sering bermasalah, banyak teman"" saya yg merasakan ketidak nyamanan menggunakan aplikasi ini, sering gagal saat akan memesan tiket, padahal akan sangat berguna apabila aplikasinya dapat berjalan secara lancar, sudah ditanggapi juga oleh pihak kai namun sampai sekarang permasalahannya juga tetap sama.",1,2018,11,10
"Dipakai lihat jadwal dan log in selalu ada tulisan mohin cek koneksi, padahal koneksi saya lancar di pakai aplikasi lain bisa, jangan semakin jelek dong kalo buat aplikasi, karena KAI kan BUMN, jadi jangan mengecewakan kami sebagai pelanggan",1,2018,11,10
"Aplikasi sudah update, tapi per tgl 11 nov ini. Aplikasi KAI & web kai.id tidak bisa digunakan. Kecewa sama pelayanan online kereta api, bisnis trip terganggu dgn hal seperti ini",2,2018,11,11
"Wah wah... Aplikasi dibawah naungan KAI kok bobrok ya... BUMN loh masa aplikasi begini makiin update makin ga jelas,, ""koneksi bermasalah"" kacau, berat nih aplikasi.. Malu ah sama yang aplikasi diluar KAI.. Dari dulu saya pakai KAI access ga ada perubahan.",1,2018,11,11
"Aplikasi eror dr td malam, tidak bs cek hasil pemesanan tiket. Tolong diperbaiki. Gmna saya bs cetak bourding tiket kalo aplikasi tidak terlihat keterang tiket semuanya, kode booking pun tidak ada. Untung ada transkip bukti pembayaran di email",1,2018,11,11
"Terima kasih KAI Acces, dengan aplikasi ini sya gak perlu antri, cetak ticket, dan gak repot. Ada sedikit hambatan ketika scan barcode di gate. Suka gak kedeteck, kayanya layar hengpong jadulku aja yg gak bener. Tapi itu bukan suatu masalah berarti kalau penjaga gatenya baik 😊. Mungkin bisa ditambah pembayaran via gopay atau ovo 😊.",5,2018,11,12
"udah install, tapi ko ga bisa log in ya. Berkali-kali, install-unistall ttep aja gt. Kan gemes! Padahal udh sering banget make aplikasi KAI buat PP naik kereta.",2,2018,11,12
Untuk yang versi terbaru tolong di perbaiki masalah login boarding pass sama lokasi karena di situ sering muncul koneksi hilang... klo untuk pemesanan tiket bisa di sana aja masalahnya akhirnya tetep aja ngeprit dan itu udh berbulan blom d benerin,4,2018,11,14
"Aplikasi minta update mulu. Sebulan sekali berapa kali minta update. Padahal aplikasi belum mateng, jadilah minta update mulu. Suka yang dulu, sekarang masak cari stasiun surabaya aja sampek yang stasiun buat kereta lokal ada jugaaa. Gak efisien menurutku. Harusnya dipisah dong yang jalur luar kota sama lokal gitu. Sempet seneng juga pas ada pesen tiket buat kereta lokal di aplikasi, tp pas dicobak jg belom bisaa yaaaa. Tolong dong Tim IT nya. Minimalisir minta update. Jangan suka maksa pengguna minta update, kalo nggak diupdate gak bisa dibuka. Ini kan untuk mempermudah pengguna memesan tiket, tp kalo kayak gini apanya yg mempermudah? Sebeell bgt gagara pesen web dihari itu gak bisa, lewat Aplikasi yang bisa. Malah maksa update dulu. Habis di update tiket dah abiiis dong :"")",2,2018,11,16
Gimana sih aplikasi y . Tambah jelek aja .. minta y d perbaruhi. Giliran sudah. Di kolom stasiun awal. Dan tujuan stasiun nya ga muncul. Jd gx bisa boking lewat aplikasi ini,2,2018,11,17
"3 bintang dulu. Mudah dipakai. Cuman sekarang kok jumlah kursinya nggak keluar, cuma available. Jadinya harus check out dulu buat ngecek jumlah kursi. Jadinya nggak praktis Mungkin bisa ditindak lanjuti Aplikasi kan untuk memudahkan, bukan untuk membelikan. Terima kasih",3,2018,11,19
Skrg lebih mudah.. tidak perlu repot untuk cetak tiket krna sudah ada e-boarding nya diperiksa saat dikreta.. menyenangkan lebih di renovasi agar lebih baik,5,2018,11,21
Saya biasa menggunakan aplikasi ini buat pergi2.. Tpi setelah beberaapa waktu lalu saya uninstal ga bisa log in... Saya kira hp saya yg rusak.. Tpi ternyata aplikasinya yg ga bermutu...,1,2018,11,24
"Aplikasi kai acces ini payah banget, semua ga bisa, padahal udah daftar, dan pas log in katanya email ku yg salah, udah coba kali ke 2 katanya pass nya yg salah, terus aja gtu terus, tolong diperbaiki ini aplikasinya, sangat tidak membantu..",1,2018,11,26
"Saya udah 2tahun lebih pake aplikasi ini untuk PP mudik, kenapa sekarang pas mau ubah tempat duduk ada notifikasi ""check your Internet conection"", saya pake WiFi, data seluler sama aja hasilnya.. mohon untuk di fix kan bug ini.. terimakasih, sukses terus untuk KAI ACCESS",2,2018,11,26
Sangat bagus pelayanan nya dan pesan tiket jadi mudah... gak perlu antri. Oh iya saran aja buat pt kai tolong adakan smoking area pada gerbong kereta khusus nya untuk jarak jauh antar provinsi...bagi yang perokok sangat gelisah pasti nya berjam jam di jalan tidak merokok sama sekali 😁😁,5,2018,11,27
Sayang untuk KAI Lokal gk bisa diakses....dr nganjuk ke surabaya...seharusnya kalo niat buat aplikasi...all tujuan lokal semua bisa...uninstall aja...update juga percuma,1,2018,12,1
"Dengan adanya aplikasi ini, saya dapat lebih mudah untuk mengecek jadwal kebrangkatan kereta api dan tempat duduk yang tersisa. Untuk memesan tiket kereta api juga lebih mudah",4,2018,12,1
untk kereta kaligung/407 pd tgl 2 desember 2018 dari stasiun smrg poncol jam 08.55 mnuju stasiun tegal jam 11.08 saya kecewa karena rute tidak sesuai jadwal. Rute : semarang poncol - weleri - pekalongan - pemalang - tegal - brebes. Kenyataan nya : semarang poncol - weleri - pekalongan - COMAL - PETARUKAN - pemalang - tegal - brebes. informasi yang di berikan dengan kenyataan berbeda dan waktu sampainya di stasiun tegal jam 11.20. tolong diperbaiki lgi mutunya!!,1,2018,12,2
"Mengapa terlalu cepat meng-update aplikasi? Saya kira 4 - 6 bulan. Ini gak, cepet bgt. Lagi buka aplikasi, buat pesen/ mau nunjukin boarding. Tau2 muncul update. Kan kita blm tentu dapet sinyal atau lg buru2 krn waktunya mepet.",5,2018,12,2
Kalau bisa stasiun perjalanan terakhir jangan di hapus.. sehingga tidak perlu input stasiun lagi.. karna tiap keluar aplikasi harus masukin stasiun dan tgl tiap masuk,4,2018,12,3
"Sangat membantu aplikasi ini, hanya saja aneh.. saya pesen kursi utk tanggal tertentu..kelas executive saya klik pesan ternyata ada massege sudah penuh... saya beli di tempat lain masih ada... kemudian hari H saya naik di gerbong saya cm ada 10 org yg lainnya kemana yaaakk",5,2018,12,3
"Tolong di upgrade server nya utk kelancaran saat menggunakan aplikasi,aplikasi sejuta umat harusnya punya server yg mampu menghandle bnyaknya user skaligus dalam satu waktu",3,2018,12,4
"Untuk kalender pemesanan tanggal merah atau hari libur seharusnya disertakan, supaya pemesan lebih gampang memilih tanggal keberangkatan. Untuk pemilihan tanggal keberangkatan juga masih kurang enak, untuk ganti tanggal harus ke layar pertama lagi. Kurang efisien. Pembayaran kurang lengkap, mobile BCA gak ada, malah pake ATM bca ada. Ribet",2,2018,12,11
"Udah bagus sih, singkat padat dan gampang digunain. Nggak ribet. Sayangnya sering banget server sibuk -_- apalagi di saat penting, duh mengganggu",4,2018,12,12
"Aplikasinya di hp saya ngebug apa gimana ya?, saya mau reschedule, tapi di my trips ga keluar kode booking saya ya? Tolong segera diperbaiki bug nya secepatnya, udh di refresh tetep aja ga mau keluar yg local train maupun intercity train. Tanggapan secepatnya. Ini saya mau coba di uninstal trus instal lagi, nanti kalo ga bisa berarti ada bugnya aplikasinya. TANGGAPANNYA SECEPATNYA",3,2018,12,13
"Mohon infonya, tiket yg sudah saya beli/booking melalui apkikasi dan status lunas tidak bisa dicancel melalui aplikasinya, kolom perubahan dan pembatalan berwarna abu2 tidak bisa di-klik. Nama dan NIK sudah sesuai ktp. Aplikasi sudah terupdate versi terbaru boss !",2,2018,12,14
"Sama sekali tidak ada perbedaan dengan sistem konvensional, fitur pembatalan tdk bisa langsung terintegrasi dengan aplikasi lain, misalnya tokopedia. Sumpah, lebih baik lewat tokopedia, dpt cashback pasti. Saya tdk mendapatkan kemudahan yg lebih dari aplikasi ini. ""Poor"". Sorry.",1,2018,12,14
"Kok perubahan jadwal tiket agak rancu,, udh berhasil berubah , bayar udah, notif lunas + berhasil di rubah udh ada ,,,,, tpi kok pas sampai di stasiun tiket engga berubah masih yg lama ?",3,2018,12,15
"Sangat kecewa untuk jadwal kereta, sudah beberapa kali kereta terlambat dan tidak sesuai jadwal, kalau karena bencana alam kayak longsor mungkin bisa d maklumi kalau karena sistem error' hmmm,, padahal saya menggunakan kereta karena sesuai jadwal,. Tolonglah diperbaiki masalah keterlambatan kereta, kalau telat 10-30 mnit masih d tolerir ini sampai 1 jam atau lebih dr 3 jam, dan kompensasi hanya biskuit dan air meneral, apalagi jika ada pembatalan tiket karena keterlambatan d potong biaya ADM sebesar 25% itung aja jika satu gerbong membatalkan tiket dengan harga 200rb=50rb ada 50 orang= 2,5jt yg membatalkan tiket tanpa kita ketahui itu sudah termasuk keuntungan bagi PT.KAI. Tolong lah perbaiki",2,2018,12,15
"awal coba aplikasi ini lancar2 saja. tapi ketika hp rusak ganti hp install aplikasi lagi pas log in dibilang password word salah. coba pilih lupa password dan sudah reset password tidak bisa login lagi, selalu dibilang password salah. coba berulang2 sama saja. gimana solusinya?",3,2018,12,21
"Susah di gunakan gak friendly user, server kadang sibuk ini jadi masalah juga kalo pas boarding kalo akses barcode nya gak muncul gimana masuk nya kan pusing 😣 kalo pas mepet waktu kreta mau berangkat terhambat Server sibuk. Untuk metode pembayarannya coba di perbanyak lagi contoh bisa menggunakan virtual account bank agar bisa di akses di smartphone untuk pembayaran atau menggunakan Internet banking jadi gak perlu jauh jauh ke ATM. Terima kasih. Diskon nya di perbanyak ada Cash back dan lain2",2,2018,12,29
"Tambahkan fitur return/pulang pergi dalam 1 kali booking, supaya bisa langsung memprediksi dan menghemat. Dan fitur ketersediaan kursi juga sangat penting. Tambahkan tombol kembali sesaat setelah mengisi data penumpang dan memilih tempat duduk/seat, jika dirasa ada yang kurang atau perubahan, agar tidak kembali ke halaman awal. tambahkan juga info2 terkini, menarik dan penting seputar perjalanan KAI. Terimakasih",3,2018,12,29
"Train traveling, itu hobi aku. Nyobain macem2 kereta itu kesukaanku. Hafalin nama2 kereta, bandingin harga sama interior itu kebiasaan aku. Dari harga yang murah sampe cukup mahal udah pernah, semoga bisa nyobain yg 1jutaan wkwk. Seneng banget sekarang udah online service lebih praktis dari booking, reschedule sampe cancelallation. I love KAI, terus tingkatkan yaa",5,2018,12,29
"sangat memudahkan saya dalam pembelian tiket kereta sehingga tidak perlu belama lama mengantre di loket stasiun,, pengoperasian aplikasi pun sangat praktis dan tidak memerlukan banyak waktu, sangat cocok untuk orang yg memiliki jadwal padat",5,2019,1,4
sorry bintang satu karena sudah login bolak balik msih ttep gak bisa masuk akun. sampe nyoba daftar baru juga ttep gak bisa masuk ke akun baru padahal pndaftran sukses. sebelum di upgrade padahal gak ada masalah. mohon diperbaiki lagi. terima kasih,1,2019,1,14
aplikasinya sangat bagus dan sangat mudah digunakan saya merasa terbantu sekali dgn aplikasi ini. namun sayangnya untuk pemesanan tiket lokal hanya tersedia di bandung. kalau bisa segera diberlakukan di seluruh stasiun di indonesia agar pengguna yg ingin memesan tiket lokal lebih mudah.,5,2019,1,14
Saran untuk tiket kereta lokal seluruh Indonesia dicantumkan min. Soalnya banyak juga orang yang perginya pakai kereta lokal harus ngantri di stasiun buat beli tiket. Apalagi waktu liburan atau lebaran. Biar merata juga pelayanan onlinenya min. Terimakasih,4,2019,1,15
"Seharusnya bisa ganti nomer hape agar keamanan data pengguna lebih terjamin,kalo bisa ada notifikasi berkala menanyakan apakah ingin ganti email,nomor hape,password,dll. Karna nomor hape saya yang lama sudah tidak aktif,masa harus bikin akun baru biar bisa ganti nomor yang baru/aktif? Satu akun untuk seterusnya jadi di database tidak numpuk2 datanya kan lebih hemat databasenya. Untuk lain-lain saya tidak ada masalah,lebih diperbaiki lagi ya sistemnya untuk kedepan. Sukses terus KAI, semangat!",3,2019,1,19
"kenapa setelah di update malah gakeliatan daftar harganya ya, padahal sebelumnya bisa, untuk fitur location juga belum bisa di gunakan, selalu tidak bisa. tapi over all udh bagus sih makannya sy kasi bintangnya 3 dulu",3,2019,1,29
Aplikasi terbaru dengan tambahan pemesanan tiket Prameks force close di menu local train. Tepatnya saat input Stasiun Asal/Tujuan. Mohon pengembang aplikasi segera memperbaiki bug tsb. Terimakasih,3,2019,2,1
